"wohflaeche";"grundstuecksflaeche";"badezimmer";"schlafzimmer";"baujahr";"garage";"kamin";"pool";"umbau"
174;668;2;2;1980;"Ja";"Nein";"Nein";"Nein"
246;1100;1;3;1950;"Ja";"Ja";"Nein";"Ja"
132;967;1;2;1929;"Ja";"Nein";"Nein";"Ja"
182;692;1;2;1956;"Ja";"Ja";"Nein";"Nein"
114;1012;2;2;1962;"Ja";"Nein";"Nein";"Nein"
220;891;1;4;1971;"Ja";"Nein";"Nein";"Nein"
318;744;3;4;1969;"Ja";"Ja";"Nein";"Nein"
167;295;2;2;2005;"Ja";"Nein";"Nein";"Nein"
207;941;3;3;1977;"Ja";"Ja";"Nein";"Nein"
277;1082;2;3;2005;"Ja";"Ja";"Nein";"Ja"
253;865;3;3;1993;"Ja";"Ja";"Nein";"Ja"
284;814;3;3;2000;"Ja";"Ja";"Nein";"Nein"
236;1365;1;2;1959;"Ja";"Nein";"Nein";"Nein"
307;754;3;3;2004;"Ja";"Nein";"Nein";"Nein"
216;220;2;3;1977;"Ja";"Ja";"Nein";"Nein"
250;539;2;3;1958;"Ja";"Nein";"Nein";"Nein"
184;286;1;3;1919;"Ja";"Nein";"Nein";"Ja"
96;502;2;2;1940;"Nein";"Nein";"Nein";"Ja"
288;981;1;4;1960;"Ja";"Ja";"Nein";"Nein"
221;1028;2;3;1976;"Ja";"Ja";"Nein";"Nein"
228;965;2;3;2010;"Ja";"Nein";"Nein";"Nein"
155;1196;2;2;1983;"Ja";"Nein";"Nein";"Nein"
296;1082;3;3;2002;"Ja";"Nein";"Nein";"Nein"
272;968;3;2;2004;"Ja";"Ja";"Nein";"Nein"
326;711;3;2;2006;"Ja";"Ja";"Nein";"Nein"
274;745;3;4;1975;"Ja";"Ja";"Nein";"Nein"
194;812;1;3;1914;"Ja";"Nein";"Nein";"Ja"
173;141;1;3;1971;"Nein";"Ja";"Nein";"Ja"
232;309;2;1;2004;"Ja";"Ja";"Nein";"Nein"
91;729;2;1;1920;"Ja";"Nein";"Nein";"Ja"
228;1209;2;3;1993;"Ja";"Ja";"Nein";"Nein"
283;905;1;4;1956;"Ja";"Ja";"Nein";"Ja"
182;418;2;2;1942;"Ja";"Nein";"Nein";"Ja"
148;625;1;2;1972;"Nein";"Nein";"Nein";"Nein"
257;1793;2;3;1962;"Ja";"Ja";"Nein";"Nein"
242;1014;3;3;1937;"Ja";"Nein";"Nein";"Ja"
340;971;2;4;1942;"Ja";"Ja";"Nein";"Ja"
320;1217;2;6;1964;"Ja";"Nein";"Nein";"Nein"
247;1141;1;3;1961;"Ja";"Ja";"Nein";"Nein"
225;778;2;3;2004;"Ja";"Nein";"Nein";"Nein"
270;1987;3;3;1924;"Ja";"Ja";"Nein";"Ja"
218;885;1;3;1963;"Ja";"Nein";"Nein";"Ja"
311;989;3;3;2005;"Ja";"Ja";"Nein";"Nein"
281;4944;2;2;1954;"Ja";"Ja";"Nein";"Ja"
205;780;2;3;1979;"Ja";"Ja";"Nein";"Ja"
227;361;2;1;1977;"Ja";"Ja";"Nein";"Nein"
196;650;1;3;1926;"Ja";"Nein";"Nein";"Ja"
259;752;3;2;2000;"Ja";"Nein";"Nein";"Nein"
261;921;2;4;1967;"Ja";"Ja";"Nein";"Nein"
406;267;2;3;2004;"Ja";"Ja";"Nein";"Ja"
278;1505;3;3;1998;"Ja";"Ja";"Nein";"Nein"
156;209;1;2;1974;"Ja";"Nein";"Nein";"Nein"
372;2081;3;4;1918;"Ja";"Ja";"Nein";"Ja"
197;814;3;3;1911;"Ja";"Nein";"Nein";"Ja"
153;793;2;2;1933;"Ja";"Ja";"Nein";"Ja"
238;744;2;3;2001;"Ja";"Ja";"Nein";"Ja"
299;1449;2;5;1950;"Ja";"Nein";"Nein";"Ja"
188;722;2;3;1962;"Ja";"Nein";"Nein";"Ja"
163;805;1;3;1967;"Ja";"Nein";"Nein";"Nein"
160;1067;2;3;1951;"Ja";"Ja";"Nein";"Ja"
116;136;2;1;1969;"Ja";"Nein";"Nein";"Nein"
187;531;2;3;1930;"Ja";"Ja";"Nein";"Ja"
81;775;1;3;1961;"Ja";"Nein";"Nein";"Nein"
405;1365;2;3;1991;"Ja";"Ja";"Nein";"Ja"
224;970;1;4;1968;"Ja";"Ja";"Nein";"Nein"
294;727;3;2;2004;"Ja";"Ja";"Nein";"Nein"
357;1313;3;3;2006;"Ja";"Ja";"Nein";"Ja"
284;1501;3;3;2004;"Ja";"Ja";"Nein";"Nein"
181;189;2;3;1970;"Ja";"Nein";"Nein";"Nein"
161;975;1;3;1958;"Ja";"Nein";"Nein";"Nein"
289;1512;4;3;1976;"Ja";"Ja";"Nein";"Ja"
