"wohflaeche";"grundstuecksflaeche";"badezimmer";"schlafzimmer";"baujahr";"garage";"kamin";"pool";"umbau";"preis"
261;1042;2;4;1998;"Ja";"Ja";"Nein";"Ja";150757
301;1253;3;3;2005;"Ja";"Ja";"Nein";"Nein";192311
231;1187;2;3;2004;"Ja";"Nein";"Nein";"Ja";145176
317;1093;1;3;1955;"Ja";"Ja";"Nein";"Nein";127453
165;664;1;3;1966;"Ja";"Nein";"Nein";"Nein";75416
273;1651;1;3;1958;"Ja";"Ja";"Nein";"Nein";113049
303;1153;3;3;1986;"Ja";"Ja";"Nein";"Nein";138765
274;781;2;3;1958;"Ja";"Ja";"Nein";"Nein";118026
168;842;1;2;1940;"Ja";"Nein";"Nein";"Ja";79187
234;810;2;3;1995;"Ja";"Ja";"Nein";"Ja";141405
199;892;2;2;1950;"Ja";"Nein";"Nein";"Ja";96532
258;1108;2;3;1957;"Ja";"Ja";"Nein";"Nein";125191
256;1236;2;3;1954;"Ja";"Ja";"Nein";"Nein";124436
149;343;2;2;2005;"Ja";"Nein";"Nein";"Nein";105582
176;870;1;3;1962;"Ja";"Nein";"Nein";"Ja";101435
192;824;1;2;1951;"Ja";"Nein";"Nein";"Nein";76924
156;1005;1;2;1884;"Ja";"Nein";"Nein";"Ja";75416
223;1312;2;3;1965;"Ja";"Nein";"Nein";"Nein";130470
141;412;2;1;1979;"Ja";"Ja";"Nein";"Nein";116895
346;1129;3;3;2005;"Ja";"Ja";"Nein";"Nein";285827
245;464;3;2;2007;"Ja";"Ja";"Nein";"Ja";173457
195;1087;2;3;1968;"Ja";"Ja";"Nein";"Nein";135673
160;670;1;3;1974;"Ja";"Nein";"Nein";"Nein";90424
276;1136;2;3;1972;"Ja";"Ja";"Nein";"Nein";131978
224;1004;2;3;1904;"Ja";"Ja";"Nein";"Ja";122928
228;847;1;4;1968;"Ja";"Nein";"Nein";"Ja";130470
202;870;1;4;1965;"Ja";"Ja";"Nein";"Nein";118780
267;752;1;4;1914;"Ja";"Ja";"Nein";"Ja";112747
315;1077;2;5;1959;"Ja";"Nein";"Nein";"Nein";116367
227;568;1;3;1936;"Ja";"Nein";"Nein";"Ja";100303
167;911;2;3;2007;"Ja";"Nein";"Nein";"Ja";130093
347;1108;2;4;1994;"Ja";"Ja";"Nein";"Nein";218706
236;864;2;3;1959;"Ja";"Ja";"Nein";"Nein";126322
206;248;2;4;1977;"Ja";"Ja";"Nein";"Nein";95778
215;650;1;3;1961;"Ja";"Nein";"Nein";"Nein";110107
289;805;2;4;1968;"Ja";"Nein";"Nein";"Nein";95024
223;849;2;4;1900;"Ja";"Nein";"Nein";"Ja";105205
124;445;1;2;1941;"Ja";"Nein";"Nein";"Ja";48266
179;557;2;3;1955;"Ja";"Nein";"Nein";"Nein";102189
158;569;1;2;1928;"Ja";"Nein";"Nein";"Ja";99549
206;971;1;3;1957;"Ja";"Nein";"Nein";"Nein";101812
297;1209;2;4;1997;"Ja";"Ja";"Nein";"Nein";167424
154;474;2;2;2003;"Ja";"Nein";"Nein";"Nein";112219
257;812;1;3;1957;"Ja";"Nein";"Nein";"Nein";115386
351;1100;3;4;1991;"Ja";"Ja";"Nein";"Nein";197801
192;857;2;1;1963;"Ja";"Nein";"Nein";"Ja";110107
176;465;1;3;1940;"Ja";"Nein";"Nein";"Ja";93516
183;749;2;3;1995;"Ja";"Nein";"Nein";"Ja";104074
338;1312;2;3;2005;"Ja";"Ja";"Nein";"Ja";195327
208;587;2;3;1913;"Nein";"Ja";"Nein";"Ja";96532
372;1254;3;3;1893;"Ja";"Ja";"Nein";"Ja";245102
216;710;1;3;1917;"Ja";"Ja";"Nein";"Ja";143253
223;962;2;3;1994;"Ja";"Ja";"Nein";"Ja";126699
292;1340;4;3;1987;"Ja";"Ja";"Nein";"Ja";161013
281;1557;2;4;1998;"Ja";"Nein";"Nein";"Nein";166669
164;512;1;1;1957;"Nein";"Nein";"Nein";"Nein";77829
269;812;3;3;2002;"Ja";"Ja";"Nein";"Nein";160636
263;1358;2;4;2006;"Ja";"Ja";"Nein";"Nein";161390
174;546;2;2;1955;"Ja";"Nein";"Nein";"Ja";97287
182;905;2;2;1958;"Ja";"Nein";"Nein";"Nein";82958
216;1100;2;3;1985;"Ja";"Nein";"Nein";"Nein";114255
195;728;1;3;1978;"Ja";"Ja";"Nein";"Nein";112747
180;1126;2;3;1962;"Ja";"Nein";"Nein";"Ja";134542
210;705;2;4;1949;"Ja";"Ja";"Nein";"Ja";69006
284;1074;3;3;2005;"Ja";"Nein";"Nein";"Ja";221723
386;19999;4;3;1964;"Ja";"Ja";"Nein";"Nein";282810
214;557;1;3;1966;"Ja";"Ja";"Nein";"Nein";95024
215;1130;3;2;1980;"Ja";"Ja";"Nein";"Nein";138388
314;937;3;3;2003;"Ja";"Ja";"Nein";"Ja";231527
313;920;2;2;1966;"Ja";"Nein";"Nein";"Nein";131978
302;2193;2;3;1980;"Ja";"Ja";"Nein";"Nein";182884
166;990;2;3;1976;"Ja";"Nein";"Nein";"Nein";96683
178;830;2;4;1979;"Ja";"Nein";"Nein";"Nein";84466
249;897;2;2;1977;"Ja";"Ja";"Nein";"Nein";126623
159;379;1;2;1921;"Nein";"Nein";"Nein";"Ja";75341
245;958;3;4;1976;"Ja";"Ja";"Nein";"Nein";148947
187;1073;1;3;1953;"Ja";"Nein";"Nein";"Ja";107091
218;2022;1;3;1921;"Ja";"Ja";"Nein";"Ja";147061
195;1130;1;3;1950;"Ja";"Ja";"Nein";"Ja";100303
235;665;2;3;2003;"Ja";"Ja";"Nein";"Ja";148192
181;461;2;3;1931;"Ja";"Ja";"Nein";"Ja";103320
313;1921;2;3;1972;"Ja";"Ja";"Nein";"Nein";149324
266;1111;2;1;1988;"Ja";"Ja";"Nein";"Nein";203623
168;558;1;2;1954;"Ja";"Nein";"Nein";"Ja";81374
335;1109;2;2;2007;"Ja";"Nein";"Nein";"Nein";180244
207;941;1;3;1910;"Nein";"Nein";"Nein";"Ja";77678
205;845;2;1;1977;"Ja";"Ja";"Nein";"Nein";124813
170;952;1;3;1954;"Ja";"Nein";"Nein";"Nein";83712
203;1080;1;3;1961;"Ja";"Ja";"Nein";"Nein";104828
302;1428;2;4;1969;"Ja";"Ja";"Nein";"Nein";162144
323;813;4;4;1901;"Nein";"Nein";"Nein";"Ja";110032
215;1040;3;3;1995;"Ja";"Ja";"Nein";"Nein";139520
163;692;1;3;1931;"Ja";"Ja";"Nein";"Ja";105130
165;727;2;3;1966;"Ja";"Ja";"Nein";"Nein";92762
324;963;3;3;2007;"Ja";"Ja";"Nein";"Nein";252644
196;791;2;3;1972;"Ja";"Nein";"Nein";"Nein";107845
152;144;1;3;1970;"Nein";"Nein";"Nein";"Nein";59956
119;1004;2;3;1900;"Nein";"Nein";"Nein";"Ja";80130
208;808;3;3;1961;"Ja";"Nein";"Nein";"Nein";116895
191;651;2;3;1963;"Nein";"Nein";"Nein";"Nein";93516
257;379;3;2;1983;"Ja";"Ja";"Nein";"Nein";182130
248;1601;2;1;2000;"Ja";"Ja";"Nein";"Ja";186202
338;1041;2;4;2005;"Ja";"Ja";"Nein";"Ja";245102
229;1318;2;3;1889;"Nein";"Nein";"Nein";"Ja";104074
277;2005;2;3;1968;"Ja";"Ja";"Nein";"Nein";162144
150;479;1;2;1959;"Ja";"Nein";"Nein";"Ja";84466
316;1286;2;4;1986;"Ja";"Nein";"Nein";"Nein";172703
160;647;1;3;1970;"Ja";"Nein";"Nein";"Nein";90876
234;893;2;3;1977;"Ja";"Ja";"Nein";"Nein";143290
213;733;2;3;1961;"Ja";"Nein";"Nein";"Nein";105545
188;365;1;3;1926;"Ja";"Nein";"Nein";"Ja";86728
296;886;2;2;1992;"Ja";"Ja";"Nein";"Nein";142159
172;767;1;2;1951;"Ja";"Ja";"Nein";"Nein";93516
211;1022;2;3;1976;"Ja";"Nein";"Nein";"Ja";101812
275;1267;3;4;1957;"Ja";"Ja";"Nein";"Nein";130093
204;558;1;4;1940;"Ja";"Ja";"Nein";"Ja";99926
95;723;1;2;1956;"Ja";"Nein";"Nein";"Nein";73908
202;708;2;4;1901;"Ja";"Ja";"Nein";"Ja";105582
216;892;1;3;1968;"Ja";"Nein";"Nein";"Nein";105582
138;174;1;2;1970;"Ja";"Nein";"Nein";"Nein";79941
231;320;2;1;2004;"Ja";"Nein";"Nein";"Ja";134240
292;836;3;3;2008;"Ja";"Nein";"Nein";"Nein";197967
225;1236;2;2;1956;"Ja";"Nein";"Nein";"Ja";119911
238;1285;2;3;1998;"Ja";"Ja";"Nein";"Ja";143215
154;176;1;3;1973;"Ja";"Nein";"Nein";"Nein";64481
240;840;3;3;1997;"Ja";"Ja";"Nein";"Nein";144799
170;1512;1;3;1978;"Ja";"Nein";"Nein";"Nein";105582
189;1415;2;3;1977;"Ja";"Nein";"Nein";"Ja";113124
186;893;3;3;2004;"Ja";"Ja";"Nein";"Nein";141405
288;2001;2;4;1996;"Ja";"Ja";"Nein";"Ja";159052
171;422;1;3;1910;"Ja";"Nein";"Nein";"Ja";85974
183;905;2;3;1994;"Ja";"Nein";"Nein";"Nein";107845
230;756;3;3;2003;"Ja";"Nein";"Nein";"Nein";157619
130;873;1;2;1947;"Nein";"Nein";"Nein";"Ja";88991
432;1215;2;5;2003;"Ja";"Ja";"Nein";"Nein";257923
163;1435;2;2;1949;"Ja";"Nein";"Nein";"Ja";107091
234;1014;2;2;1961;"Ja";"Ja";"Nein";"Nein";118403
217;1028;3;3;1975;"Ja";"Nein";"Nein";"Nein";111616
247;756;3;2;2006;"Ja";"Nein";"Nein";"Ja";181753
266;1278;2;3;1992;"Ja";"Ja";"Nein";"Ja";141405
150;157;1;3;1971;"Ja";"Nein";"Nein";"Nein";79564
287;1208;3;3;1977;"Ja";"Ja";"Nein";"Nein";164030
319;1094;2;4;1999;"Ja";"Ja";"Nein";"Ja";218706
210;697;1;3;1942;"Ja";"Ja";"Nein";"Ja";133863
141;176;1;3;1974;"Ja";"Nein";"Nein";"Nein";87483
255;663;2;2;2008;"Ja";"Ja";"Nein";"Nein";154603
176;1045;2;3;1963;"Ja";"Nein";"Nein";"Nein";98041
279;961;3;3;1999;"Ja";"Nein";"Nein";"Nein";153849
214;859;3;3;1993;"Ja";"Nein";"Nein";"Nein";130470
229;1034;2;3;1985;"Ja";"Nein";"Nein";"Nein";122551
179;1189;1;2;1960;"Ja";"Nein";"Nein";"Ja";114255
205;968;2;3;1954;"Ja";"Nein";"Nein";"Ja";100303
259;885;1;4;1963;"Ja";"Ja";"Nein";"Ja";124436
226;934;2;3;1955;"Ja";"Nein";"Nein";"Nein";97664
207;512;2;3;1932;"Ja";"Nein";"Nein";"Ja";98041
295;948;3;3;2008;"Ja";"Ja";"Nein";"Nein";221120
168;639;2;1;1926;"Ja";"Ja";"Nein";"Ja";102943
338;1187;3;3;2003;"Ja";"Ja";"Nein";"Ja";210788
159;782;2;3;1969;"Ja";"Nein";"Nein";"Nein";105582
266;274;3;2;2000;"Ja";"Ja";"Nein";"Nein";186270
241;1449;3;3;1951;"Ja";"Ja";"Nein";"Ja";119157
138;157;1;2;1971;"Ja";"Ja";"Nein";"Nein";71268
261;513;1;4;1920;"Ja";"Ja";"Nein";"Ja";84089
304;468;3;3;1985;"Ja";"Ja";"Nein";"Nein";156488
225;1151;1;3;1956;"Ja";"Nein";"Nein";"Ja";116895
319;2239;2;4;1940;"Ja";"Ja";"Nein";"Ja";184317
173;835;1;2;1899;"Ja";"Ja";"Nein";"Ja";101812
292;1007;3;2;2003;"Ja";"Ja";"Nein";"Ja";214181
197;1202;1;3;1972;"Ja";"Ja";"Nein";"Nein";122174
263;1270;1;3;1961;"Ja";"Ja";"Nein";"Nein";108524
193;855;2;3;1965;"Ja";"Nein";"Nein";"Nein";121420
244;474;2;1;1990;"Ja";"Ja";"Nein";"Nein";159882
169;1031;2;2;1997;"Ja";"Nein";"Nein";"Nein";119911
320;1009;3;1;1992;"Ja";"Ja";"Nein";"Nein";244348
198;908;2;3;1994;"Ja";"Ja";"Nein";"Nein";139520
212;696;2;3;2006;"Ja";"Nein";"Nein";"Nein";114632
193;689;2;2;1942;"Ja";"Ja";"Nein";"Ja";88991
258;813;2;4;2001;"Ja";"Nein";"Nein";"Nein";148570
161;838;1;3;1969;"Ja";"Nein";"Nein";"Nein";90876
388;1024;3;3;1992;"Ja";"Ja";"Nein";"Ja";251889
180;763;1;3;1977;"Ja";"Ja";"Nein";"Nein";108222
257;770;2;3;1995;"Ja";"Nein";"Nein";"Ja";141028
266;812;2;4;2003;"Ja";"Ja";"Nein";"Nein";165538
304;749;2;4;2002;"Ja";"Ja";"Nein";"Nein";150832
282;1068;3;4;1996;"Ja";"Ja";"Nein";"Ja";165915
204;1122;2;3;1982;"Ja";"Ja";"Nein";"Ja";132732
237;892;2;3;1978;"Ja";"Ja";"Nein";"Nein";136880
213;669;1;3;1931;"Ja";"Ja";"Nein";"Ja";112370
262;1314;3;3;1983;"Ja";"Nein";"Nein";"Ja";152717
318;940;3;3;2006;"Ja";"Ja";"Nein";"Nein";207771
197;1324;2;3;1900;"Ja";"Nein";"Nein";"Ja";104451
196;237;3;3;1998;"Ja";"Nein";"Nein";"Nein";116895
79;1029;1;1;1939;"Ja";"Nein";"Nein";"Ja";51361
277;580;2;4;1939;"Ja";"Ja";"Nein";"Ja";113124
280;941;2;3;2003;"Ja";"Nein";"Nein";"Nein";153094
264;728;3;4;2001;"Ja";"Ja";"Nein";"Nein";163276
312;614;2;4;1893;"Ja";"Nein";"Nein";"Ja";81072
244;476;3;1;2005;"Ja";"Ja";"Nein";"Nein";139143
214;930;1;2;1954;"Ja";"Ja";"Nein";"Ja";101397
324;994;2;2;1956;"Ja";"Ja";"Nein";"Ja";143290
195;557;1;3;1950;"Ja";"Nein";"Nein";"Ja";97664
235;939;3;3;2003;"Ja";"Nein";"Nein";"Nein";141782
216;738;2;3;1960;"Ja";"Nein";"Nein";"Nein";106337
122;835;1;2;1958;"Ja";"Ja";"Nein";"Nein";85597
334;1063;3;3;2007;"Ja";"Ja";"Nein";"Nein";225306
193;817;2;3;1976;"Ja";"Nein";"Nein";"Ja";113501
157;670;2;3;1937;"Ja";"Nein";"Nein";"Ja";116895
237;1040;2;3;1963;"Ja";"Nein";"Nein";"Nein";85974
253;641;2;2;2005;"Ja";"Ja";"Nein";"Nein";160636
180;743;2;2;1948;"Ja";"Ja";"Nein";"Ja";99549
229;994;3;3;1996;"Ja";"Ja";"Nein";"Nein";159882
118;138;2;1;1970;"Nein";"Nein";"Nein";"Nein";55054
203;557;2;3;1954;"Ja";"Nein";"Nein";"Nein";70137
182;837;2;3;1995;"Ja";"Nein";"Nein";"Nein";113124
106;635;2;2;1953;"Nein";"Nein";"Nein";"Nein";62218
213;854;2;3;1965;"Ja";"Ja";"Nein";"Nein";105582
316;1099;2;2;2008;"Ja";"Ja";"Nein";"Nein";190802
309;1031;2;3;2007;"Ja";"Nein";"Nein";"Nein";188314
81;939;1;1;1949;"Ja";"Nein";"Nein";"Ja";67799
180;1994;2;1;1969;"Ja";"Ja";"Nein";"Nein";135749
199;1283;1;3;1959;"Ja";"Nein";"Nein";"Ja";105582
214;213;2;3;1980;"Ja";"Ja";"Nein";"Nein";111993
458;4972;4;4;2002;"Ja";"Ja";"Nein";"Nein";405738
269;719;2;4;1901;"Ja";"Nein";"Nein";"Ja";84089
187;1003;2;4;1941;"Ja";"Nein";"Nein";"Ja";112370
161;683;1;2;1970;"Ja";"Nein";"Nein";"Nein";82958
290;382;3;2;1997;"Ja";"Ja";"Nein";"Ja";230019
231;1004;2;3;1961;"Ja";"Nein";"Nein";"Nein";114255
196;214;2;2;1978;"Ja";"Nein";"Nein";"Nein";107468
228;855;2;3;1986;"Ja";"Ja";"Nein";"Nein";134240
291;921;3;3;1997;"Ja";"Ja";"Nein";"Ja";203465
317;1159;3;3;2005;"Ja";"Ja";"Nein";"Ja";254529
189;1322;1;3;1995;"Ja";"Nein";"Nein";"Nein";105205
132;1013;1;2;1928;"Ja";"Nein";"Nein";"Ja";51283
117;454;1;2;1936;"Ja";"Nein";"Nein";"Ja";65612
342;1490;3;3;2004;"Ja";"Ja";"Nein";"Ja";245856
187;558;1;3;1929;"Ja";"Ja";"Nein";"Ja";90499
215;967;2;3;1915;"Ja";"Nein";"Nein";"Ja";101812
266;940;2;3;2004;"Ja";"Nein";"Nein";"Ja";130847
339;971;3;4;1965;"Ja";"Nein";"Nein";"Nein";164784
285;1068;1;3;1937;"Ja";"Ja";"Nein";"Ja";188540
311;369;3;2;1997;"Ja";"Ja";"Nein";"Ja";260185
161;767;2;2;1915;"Nein";"Nein";"Nein";"Ja";50529
138;717;1;2;1994;"Ja";"Nein";"Nein";"Ja";98984
161;1184;1;3;1971;"Ja";"Nein";"Nein";"Nein";83900
255;875;2;4;1973;"Nein";"Nein";"Nein";"Nein";104828
230;1244;2;3;1970;"Ja";"Ja";"Nein";"Ja";105582
161;887;1;3;1972;"Ja";"Nein";"Nein";"Nein";96910
87;581;1;2;1947;"Nein";"Nein";"Nein";"Ja";60710
242;868;2;3;1961;"Ja";"Ja";"Nein";"Ja";115386
238;863;2;3;1991;"Ja";"Nein";"Nein";"Nein";141028
191;417;2;2;1923;"Ja";"Ja";"Nein";"Ja";67497
161;751;2;3;1960;"Ja";"Ja";"Nein";"Ja";101812
169;691;2;2;1960;"Ja";"Ja";"Nein";"Nein";106714
178;649;2;2;1925;"Ja";"Nein";"Nein";"Ja";84466
271;780;2;4;1939;"Ja";"Ja";"Nein";"Ja";135372
142;785;2;2;1970;"Ja";"Nein";"Nein";"Ja";100303
295;832;2;4;1967;"Ja";"Nein";"Nein";"Nein";93516
214;215;2;4;1973;"Ja";"Nein";"Nein";"Nein";107845
261;702;1;3;1930;"Ja";"Ja";"Nein";"Ja";133486
297;835;2;2;2006;"Ja";"Ja";"Nein";"Ja";167046
180;832;2;2;1925;"Ja";"Ja";"Nein";"Ja";109353
148;1132;2;2;1941;"Ja";"Nein";"Nein";"Ja";60333
188;363;2;1;1989;"Ja";"Ja";"Nein";"Nein";139520
153;669;1;3;1922;"Ja";"Nein";"Nein";"Ja";76170
193;944;2;3;1993;"Ja";"Ja";"Nein";"Nein";120666
272;1372;2;3;1953;"Ja";"Ja";"Nein";"Ja";168932
280;964;2;3;1970;"Ja";"Ja";"Nein";"Nein";131224
265;944;2;3;1964;"Ja";"Ja";"Nein";"Nein";136126
172;742;1;3;1975;"Ja";"Nein";"Nein";"Nein";82958
67;614;1;2;1948;"Ja";"Nein";"Nein";"Ja";54677
320;985;3;3;1997;"Ja";"Ja";"Nein";"Nein";196383
230;1026;2;3;2008;"Ja";"Nein";"Nein";"Nein";135673
121;1003;2;2;1968;"Ja";"Nein";"Nein";"Nein";67874
167;784;2;3;1967;"Ja";"Ja";"Nein";"Ja";104451
416;1529;2;4;2003;"Ja";"Ja";"Nein";"Nein";279039
227;417;3;2;1999;"Ja";"Nein";"Nein";"Nein";124436
130;481;1;2;1910;"Ja";"Nein";"Nein";"Ja";61012
258;1250;3;3;2000;"Ja";"Nein";"Nein";"Nein";150832
267;279;2;2;2005;"Ja";"Ja";"Nein";"Nein";161006
306;1045;3;3;2001;"Ja";"Ja";"Nein";"Nein";214936
254;1146;2;3;1993;"Ja";"Ja";"Nein";"Nein";164407
193;1053;2;3;1976;"Ja";"Ja";"Nein";"Nein";110711
154;815;2;3;1984;"Nein";"Nein";"Nein";"Nein";84466
183;845;2;3;1964;"Ja";"Ja";"Nein";"Nein";96532
205;772;1;2;1962;"Ja";"Nein";"Nein";"Nein";82958
358;840;2;4;1994;"Ja";"Ja";"Nein";"Ja";248873
290;751;2;4;1958;"Ja";"Nein";"Nein";"Nein";96985
264;1046;1;3;1933;"Ja";"Ja";"Nein";"Ja";165915
171;735;1;3;1971;"Ja";"Nein";"Nein";"Ja";100303
168;558;1;3;1940;"Ja";"Nein";"Nein";"Ja";90499
239;946;2;3;1998;"Ja";"Ja";"Nein";"Nein";142913
195;556;1;3;1905;"Nein";"Nein";"Nein";"Ja";97588
184;925;2;3;1959;"Ja";"Nein";"Nein";"Nein";96910
249;1212;1;4;1922;"Ja";"Ja";"Nein";"Ja";156111
224;924;3;3;1991;"Ja";"Nein";"Nein";"Ja";130470
213;951;2;3;2004;"Ja";"Ja";"Nein";"Ja";132732
282;870;2;3;2003;"Ja";"Ja";"Nein";"Ja";188540
388;1551;4;5;1977;"Ja";"Ja";"Ja";"Nein";188540
265;838;3;3;1998;"Ja";"Nein";"Nein";"Nein";144799
261;1062;3;3;1989;"Ja";"Ja";"Nein";"Nein";131978
208;892;2;2;1955;"Ja";"Nein";"Nein";"Nein";108599
161;853;2;2;1983;"Ja";"Nein";"Nein";"Nein";108599
170;556;1;3;1940;"Ja";"Ja";"Nein";"Ja";96532
273;1219;3;3;1957;"Ja";"Ja";"Nein";"Ja";116895
248;1327;1;3;1958;"Ja";"Nein";"Nein";"Nein";129716
276;633;2;1;1986;"Ja";"Nein";"Nein";"Nein";159882
239;779;2;3;1909;"Ja";"Nein";"Nein";"Ja";108674
319;860;3;3;2004;"Ja";"Nein";"Nein";"Nein";175492
187;464;1;3;1926;"Ja";"Nein";"Nein";"Ja";85220
251;705;2;2;2005;"Ja";"Ja";"Nein";"Ja";146835
218;357;2;1;1979;"Ja";"Ja";"Nein";"Ja";161202
244;1315;2;3;1957;"Ja";"Ja";"Nein";"Ja";126699
197;977;1;3;1958;"Ja";"Nein";"Nein";"Ja";103320
170;906;2;2;1976;"Ja";"Ja";"Nein";"Nein";117988
219;727;1;2;1969;"Ja";"Nein";"Nein";"Nein";96532
316;1363;3;2;1977;"Ja";"Ja";"Nein";"Ja";240389
118;666;1;3;1972;"Ja";"Nein";"Nein";"Ja";88237
172;743;2;2;1980;"Ja";"Ja";"Nein";"Nein";107845
510;1432;3;2;2007;"Ja";"Ja";"Nein";"Nein";418559
270;725;4;3;1947;"Ja";"Nein";"Nein";"Ja";169686
202;767;1;3;1968;"Ja";"Ja";"Nein";"Nein";101057
178;596;2;2;1958;"Ja";"Nein";"Nein";"Ja";99361
255;1144;2;2;2005;"Ja";"Ja";"Nein";"Nein";144799
105;947;1;2;1926;"Ja";"Nein";"Nein";"Ja";56562
449;988;3;3;2004;"Ja";"Ja";"Nein";"Ja";214181
183;778;2;3;1978;"Ja";"Nein";"Nein";"Nein";113049
270;812;2;3;2001;"Ja";"Ja";"Nein";"Nein";144799
259;891;1;3;1917;"Ja";"Ja";"Nein";"Ja";97664
156;413;2;1;2004;"Ja";"Nein";"Nein";"Nein";105582
279;879;2;1;1994;"Ja";"Ja";"Nein";"Ja";210939
159;674;2;2;1982;"Ja";"Nein";"Nein";"Nein";101736
195;697;1;3;1947;"Ja";"Nein";"Nein";"Ja";95778
195;585;2;3;1973;"Ja";"Ja";"Nein";"Nein";94421
298;914;3;4;1920;"Ja";"Nein";"Nein";"Ja";142536
151;139;1;3;1969;"Nein";"Nein";"Nein";"Nein";70816
194;749;2;3;1948;"Ja";"Nein";"Nein";"Ja";104074
274;663;2;4;1945;"Ja";"Nein";"Nein";"Ja";109353
271;1045;3;4;1995;"Ja";"Ja";"Nein";"Ja";178736
231;679;3;2;2007;"Ja";"Nein";"Nein";"Nein";146684
161;695;2;3;1971;"Ja";"Nein";"Nein";"Nein";95778
259;1501;2;2;1977;"Ja";"Ja";"Nein";"Nein";146307
245;988;2;3;2003;"Ja";"Nein";"Nein";"Nein";145553
268;1906;2;3;1986;"Ja";"Ja";"Nein";"Ja";162144
279;817;2;5;1964;"Ja";"Ja";"Nein";"Ja";169309
243;1006;2;3;1995;"Ja";"Ja";"Nein";"Ja";146684
186;324;1;2;1948;"Ja";"Nein";"Nein";"Ja";82958
291;912;3;2;1977;"Ja";"Ja";"Nein";"Nein";147815
170;235;3;2;2005;"Ja";"Nein";"Nein";"Nein";114632
159;789;2;3;1976;"Ja";"Ja";"Nein";"Ja";113878
325;839;2;4;1942;"Ja";"Ja";"Nein";"Ja";200984
151;826;2;2;1940;"Ja";"Ja";"Nein";"Ja";75416
228;360;2;1;1979;"Ja";"Ja";"Nein";"Nein";143290
167;719;2;3;1999;"Ja";"Ja";"Nein";"Nein";135749
217;806;2;3;1951;"Ja";"Nein";"Nein";"Nein";96721
371;1754;2;4;1977;"Ja";"Ja";"Nein";"Nein";143290
216;1007;1;3;1924;"Ja";"Ja";"Nein";"Ja";104828
167;121;1;2;1979;"Ja";"Ja";"Nein";"Nein";93516
157;812;2;2;1983;"Ja";"Nein";"Nein";"Nein";103320
173;884;1;2;1954;"Ja";"Nein";"Nein";"Nein";74662
137;157;1;2;1972;"Ja";"Nein";"Nein";"Nein";67497
136;715;1;3;1977;"Ja";"Ja";"Nein";"Nein";115386
283;945;2;3;2004;"Ja";"Nein";"Nein";"Nein";161390
263;405;2;2;2002;"Ja";"Ja";"Nein";"Nein";218706
253;987;3;3;2006;"Ja";"Ja";"Nein";"Nein";203623
221;883;2;2;1959;"Ja";"Ja";"Nein";"Ja";108599
181;556;1;3;1941;"Ja";"Ja";"Nein";"Ja";98795
275;979;3;3;1992;"Ja";"Ja";"Nein";"Ja";180923
238;836;2;3;1978;"Ja";"Ja";"Nein";"Nein";131224
287;1418;2;3;1960;"Ja";"Ja";"Nein";"Nein";130470
241;882;3;3;2000;"Ja";"Ja";"Nein";"Nein";141028
264;929;2;3;2003;"Ja";"Ja";"Nein";"Nein";162144
268;1000;3;3;1976;"Ja";"Ja";"Nein";"Ja";164407
268;791;2;3;2001;"Ja";"Ja";"Nein";"Nein";142536
78;670;1;2;1953;"Ja";"Ja";"Nein";"Ja";81072
170;1206;2;2;1962;"Ja";"Nein";"Nein";"Nein";108599
237;943;2;3;1999;"Ja";"Ja";"Nein";"Nein";139520
247;654;4;2;1997;"Ja";"Nein";"Nein";"Nein";162144
335;1124;3;4;2004;"Ja";"Ja";"Nein";"Nein";266973
248;1569;1;2;1960;"Ja";"Ja";"Nein";"Nein";128207
141;466;1;2;1941;"Ja";"Nein";"Nein";"Ja";65612
172;793;2;3;1994;"Ja";"Ja";"Nein";"Ja";127076
317;1035;2;3;2005;"Ja";"Ja";"Nein";"Nein";192688
246;2568;3;4;1960;"Ja";"Ja";"Nein";"Ja";182507
279;1129;2;2;1954;"Ja";"Ja";"Nein";"Nein";112747
323;1013;2;4;2003;"Ja";"Ja";"Nein";"Nein";180998
194;1825;3;3;1994;"Ja";"Nein";"Nein";"Ja";153196
223;939;2;4;1964;"Ja";"Ja";"Nein";"Ja";129716
200;669;1;2;1937;"Ja";"Nein";"Nein";"Ja";94647
206;1147;2;3;1951;"Ja";"Ja";"Nein";"Nein";103697
214;790;2;3;1917;"Nein";"Nein";"Nein";"Ja";86728
229;939;2;3;1977;"Ja";"Ja";"Nein";"Nein";129338
272;341;2;2;2008;"Ja";"Ja";"Nein";"Nein";131224
252;1052;3;4;1980;"Ja";"Ja";"Nein";"Nein";144799
282;1178;1;1;2004;"Ja";"Ja";"Nein";"Ja";206640
313;823;2;2;2005;"Ja";"Ja";"Nein";"Nein";200607
